entre, between
domestiques, domestic
demeurer, remain
critères, criteria
chantait, singing
blessure, injury
autonome, autonomous
abandonne, abandons
tenais, wanted
saura, will
ruisseau, creek
révolutionnaires, revolutionary
releva, raised
régionale, Regional
observateur, observer
nommés, appointed
mou, soft
méchant, wicked
libérer, release
inventer, invent
indépendamment, independently
illusions, illusions
faciliter, facilitate
emporté, away
consacrer, devote
vieillesse, old age
solde, balance
revenue, back
produisent, produce
effectue, performs
dressé, trained
continué, continued
cadavres, corpses
trouverait, find
tonnerre, thunder
romains, Roman
réunions, meetings
relèvent, are
prenne, take
plaire, please
malheureuse, unfortunate
indiqué, indicated
acteurs, actors
scolaires, school
quais, docks
pertes, losses
parvint, reached
frein, brake
fausses, false
familial, family
céleste, heavenly
viendrait, would come
perfectionnement, improvement
parts, parts
meurtre, murder
initial, initial
hygiène, hygiene
croisés, Crusaders
charité, charity
cathédrale, cathedral
aiguë, acute
serons, will
retient, retains
promesses, promises
phases, phases
parallèle, parallel
opère, operates
failli, bankrupt
cavaliers, Riders
breton, breton
bonté, goodness
azote, nitrogen
traversa, crossed
singulièrement, singularly
réveille, wake up
ranger, ranger
photographies, photographs
personnellement, personally
confus, confused
brûlant, burning
béatrix, Beatrix
transforme, transforms
souffert, suffered
risquait, could
positif, positive
mentale, Mental
inversement, inversely
influences, influences
goûter, taste
george, george
crié, shouted
blessés, wounded
bal, ball
studio, studio
sitôt, soon
sentis, felt
plonge, plunges
pêcheurs, fishermen
fromage, cheese
exécuter, execute
exceptionnelle, exceptional
effacer, delete
détour, detour
cordes, strings
communiquer, communicate
brillants, brilliant
barrière, barrier
avancé, advanced
yvonne, yvonne
rocher, rock
réunir, gather
repartir, restart
potentiel, potential
pote, buddy
mouche, fly
miroirs, mirrors
instituteur, teacher
banquette, bench
volé, stolen
traditionnelles, traditional
tailleur, tailor
respecter, respect
récits, stories
psychologiques, psychological
manuscrits, manuscripts
intellectuels, intellectuals
fondamentaux, fundamental
financement, funding
exploitations, farms
crête, crest
brutale, brutal
voulant, wanting
urss, ussr
tranche, slice
refaire, redo
pointes, tips
inutiles, unnecessary
instituteurs, teachers
fibres, fibers
délire, delirium
ascenseur, lift
annonça, announced
torse, torso
régnait, reigned
jetant, throwing
ioo, ioo
interpréter, interpret
intelligent, intelligent
grotte, cave
gentiment, kindly
forcer, force
finie, finite
demeurant, remaining
aire, area
adjudant, adjutant
suppression, removal
rez, ground
noeuds, nodes
nicole, nicole
muet, dumb
majeure, major
jaloux, jealous
gamin, kid
esclaves, slaves
ennuie, bored
engage, committed
drôlement, oddly
contrôler, control
continuent, continue
affirmation, assertion
wagons, cars
vaincre, overcome
répertoire, repertoire
primitive, primitive
pan, Pan
misérable, miserable
journaliste, journalist
garage, garage
diamant, diamond
délégué, delegate
coordonnées, coordinates
clan, clan
baissa, lowered
visiteurs, visitors
théoriques, theoretical
souvenait, remembered
secoua, shook
répétition, repetition
géométrique, geometric
fiche, plug
exportations, exports
appels, calls
aisance, ease
transfert, transfer
sonne, sounds
serez, will
rigoureusement, rigorously
refuge, refuge
rat, rat
marchande, Merchant
invité, guest
invisibles, invisible
glissé, slipped
attendez, wait
universités, universities
porchon, Porchon
opinions, views
lâcher, release
habituellement, usually
gamme, range
fossé, ditch
créature, creature
couvercle, lid
cités, cited
briques, bricks
administratifs, administrative
vingtaine, around twenty
vies, lives
victoria, victoria
silhouettes, silhouettes
passagers, passengers
panneau, panel
nièvès, Nevis
manuel, manual
horloge, clock
demandent, ask
cristaux, crystals
complice, accomplice
angles, angles
analyses, analyzes
trembler, tremble
réelles, real
ivresse, intoxication
isolement, isolation
impôts, taxes
hommage, tribute
dresse, stands
dessein, design
compétition, competition
chantier, site
bagages, baggage
voiles, sails
timbre, stamp
talus, bank
suspendu, suspended
supprimer, remove
signature, signature
retire, withdraws
remet, gives
réfléchit, reflects
pudeur, modesty
panneaux, panels
mêlée, melee
interventions, interventions
identifier, identify
dues, due
définitif, final
défi, challenge
commercial, commercial
cercles, circles
buffet, buffet
apprit, learned
stage, course
salons, fairs
présentant, with
opérer, operate
inconvénients, disadvantages
détente, relaxation
crains, fear
communion, Communion
argument, argument
systématiquement, systematically
récentes, Recent
prirent, took
mettez, put
menaces, threats
imiter, imitate
humour, humor
fautes, mistakes
faiblement, weakly
faces, faces
exigence, requirement
diminuer, decrease
civils, civilians
biais, through
berger, shepherd
attachés, attached
alerte, alert
xvie, sixteenth
rapporte, reports
positive, positive
parlons, talk
manifester, manifest
laboratoires, laboratories
journalistes, journalists
insister, insist
feront, will
constatation, finding
cauchemar, nightmare
casque, helmet
carmen, carmen
bourse, scholarship
altitude, altitude
véronique, veronica
tests, tests
serrant, tightening
sabots, clogs
régionaux, regional
recommence, again
molécule, molecule
modifié, modified
lumineuse, light
inventaire, inventory
installe, installs
groupement, group
glaces, Ice
franck, franck
enquêtes, investigations
débats, proceedings
confié, entrusted
admirer, admire
achève, ends
révélé, revealed
régionales, regional
outil, tool
jetée, pier
installés, installed
illustre, illustrious
faisceau, beam
employée, employee
diagnostic, diagnosis
collaborateurs, employees
chars, tanks
brutal, brutal
aidé, helped
tiffauges, Tiffauges
suffi, enough
sieur, Mr.
rentrant, returning
provoqué, caused
formée, formed
exportation, export
cuisse, thigh
craint, fears
avancement, advancement
amiral, admiral
véritablement, truly
sixième, sixth
rétablir, restore
ressemblent, like
mandat, mandate
logis, dwelling
indiens, Indian
endormi, asleep
désastre, disaster
cire, wax
cachait, hiding
traduction, translation
occupent, occupy
indépendante, independent
déficit, deficit
courut, ran
casserole, pan
and, and
spécifiques, specific
pèse, weighs
mythes, Myths
joies, joys
filer, spin
ferma, closed
dominante, dominant
demeura, remained
délégation, delegation
définies, defined
buvait, drank
authentique, authentic
assiettes, plates
aimez, like
addition, addition
rides, Wrinkles
phares, headlights
mômes, kids
insiste, insists
horrible, horrible
divan, couch
discrètement, discreetly
contenter, satisfy
bougeait, moved
alimentaires, Food
valises, bags
traction, traction
statues, statues
remarqua, noticed
nommer, name
moine, monk
mêler, mix
imitation, imitation
formés, trained
directoire, directory
déroulement, progress
député, deputy
dangers, dangers
comprenais, understand
zazie, zazie
tremblait, trembling
serrés, tight
pourcentage, percentage
noyaux, stones
dates, dates
borne, terminal
bol, bowl
boches, Boche
ayez, have
assisté, attended
artisans, artisans
robinet, tap
représenté, represented
inscriptions, Registration
exposer, expose
esclave, slave
déclara, said
brillante, brilliant
verdun, verdun
spectateurs, spectators
roulait, rolling
renoncé, waived
ouvrent, open
organisée, organized
nantes, nantes
musicale, musical
mettaient, put
intéressent, interest
inspiré, inspired
extra, extra
commençaient, began
blouson, jacket
aigu, acute
soviétiques, Soviet
régiment, regiment
prés, meadows
menu, menu
justifie, justifies
hostile, hostile
desquelles, which
conduites, piping
candidat, candidate
baraque, booth
ruban, tape
réflexes, reflexes
primitif, primitive
perles, Pearls
observa, observed
marier, marry
interviennent, involved
hostilité, hostility
gide, gide
entrant, incoming
engins, gear
déclare, said
bourgeoise, bourgeois
barbier, barber
artillerie, artillery
achever, finish
wagon, wagon
trompé, deceived
tit, tit
session, session
sèches, dry
retrait, withdrawal
réservée, reserved
procède, proceeds
priori, priori
prenons, take
pins, pine
million, million
jouaient, played
habituelle, usual
coudes, elbows
centrales, central
brûlé, burnt
argile, clay
troupeaux, herds
tige, stem
soucieux, concerned
pressions, pressures
préférait, preferred
poursuite, pursuit
neutre, neutral
montaient, amounted
localisation, location
enregistrement, recording
enlève, removes
emplacement, location
déteste, hate
critère, criterion
vanité, vanity
surprendre, surprise
rousseau, rousseau
proposait, proposed
jouir, enjoy
joint, joint
ionesco, ionesco
expressions, expressions
craignait, feared
tristes, sad
tribu, tribe
trentaine, about thirty
surgit, arises
sûreté, safety
soulever, raise
prétendait, claimed
parisiens, Paris
offensive, offensive
luxembourg, luxembourg
fondre, melt
exaltation, exaltation
dispersion, dispersion
dépendent, depend
célèbres, famous
assises, assizes
animale, Animal
agences, agencies
vitrine, showcase
riz, rice
restauration, restoration
rapproche, close
normandie, Normandy
macaire, macaire
juré, sworn
giraud, giraud
fécondité, fertility
dissimuler, hide
devenaient, became
carrés, square
bullit, bullit
bombes, bombs
bilan, balance sheet
bensoussan, Bensoussan
angélique, angelic
allumer, turn on
vigne, vine
serrées, tight
robin, Robin
registre, register
octave, octave
machinalement, mechanically
consulter, consult
briser, break
semblé, seemed
reprenant, resuming
régis, governed
pus, pus
obéir, obey
jouissance, enjoyment
extrémités, extremities
domine, dominates
disposent, have
devront, will
conformément, accordance
automatiquement, automatically
amertume, bitterness
transformé, transformed
reconstituer, reconstruct
prusse, Prussia
petiot, petiot
morales, moral
lèvre, lip
enfoncer, push
contribué, contributed
anthropologie, anthropology
alluma, lit
rigoureuse, rigorous
rêvait, dreamed
remarquables, remarkable
reconnue, recognized
réalisme, realism
poumons, lungs
polonais, Polish
plessis, plessis
pédagogique, educational
pacte, pact
nécessités, needs
mecs, Guys
individuels, Individual
homogène, homogeneous
expédition, expedition
dunkerque, dunkirk
débris, debris
couvertures, blankets
amas, heap
actuels, current
achats, purchases
vendu, sold
soulagement, relief
ralenti, slow motion
pendule, pendulum
miens, mine
messages, Posts
merveilleuse, wonderful
manuscrit, manuscript
futurs, future
fréquente, frequent
frappa, struck
détresse, distress
décrets, decrees
conscient, conscious
champignons, mushrooms
bistrot, pub
associés, associated
analyser, analyze
végétation, vegetation
relatifs, on
régularité, regularity
recouvert, coated
précède, aboveallow
permettra, would allow
paye, pay
observait, observed
nerf, nerve
islam, Islam
dorée, golden
dangereuse, dangerous
contexte, context
brosse, brush
armé, armed
zinc, zinc
volée, flight
versailles, versailles
soudaine, sudden
rendant, making
reçus, received
imposait, imposed
habileté, skill
extrêmes, extreme
daisy, daisy
comparable, comparable
canaux, channels
version, version
vaudreuil, vaudreuil
terminée, completed
saut, jump
romantique, romantic
reviennent, back
posant, posing
mentalité, mentality
lycées, high schools
jumeaux, twins
juilleti, juilleti
fixées, fixed
faciles, easy
conseillers, Councillors
conjoncture, conjuncture
clés, Key
clairs, clear
blocs, blocks
aurore, dawn
tronche, face
terminer, finish
serpent, snake
ressemblance, resemblance
règlements, regulations
reconnaissait, recognized
passèrent, passed
maritimes, Maritime
malin, malignant
john, john
daniel, daniel
créés, created
continuant, continuing
connaissons, know
compose, consists
amateurs, amateur
sortaient, came out
professions, occupations
procurer, obtain
porteur, carrier
mobilier, furniture
mahmoud, mahmoud
lames, blades
joindre, join
frappant, striking
fantômes, Ghosts
excellente, excellent
